#Question|Class|WH|WH-Bigram|WH-POS|WH-NBOR-POS
"At a Democratic campaign training session for New Jersey officials last week, a political media consultant told the audience to focus on the three ""P's."" What are they? "|X||||
Which companies had the best stock market performance since Jan. 1?|O|Which|Which companies|WDT|NNS
How many Ivy League football championships has Princeton University won outright in the past 30 years?|A|How|How many|WRB|JJ
What percentage of businesses surveyed in New Jersey said they believed high schools were doing an above-average job of preparing students for the workplace?|C|What|What percentage|WP|NN
Where did Princeton University hold its commencements during most of the 19th Century?|L|Where|Where did|WRB|VBD
Which of Mercer County's 13 municipalities has the population with the oldest median age?|L|Which|Which of|WDT|IN
How many hotel rooms and suites are there in Somerset County? |A|How|How many|WRB|JJ
When executives are fired, what percentage of the time is it for incompetence?|C|When|When executives|WRB|NNS
What is the official state dinosaur of New Jersey? |X|What|What is|WP|VBZ
What percentage of reported auto thefts in New Jersey results in arrests?|C|What|What percentage|WP|NN
How many people have been killed by earthquakes in New Jersey during the past 300 years?|A|How|How many|WRB|JJ
Which New Jersey restaurant received the highest rating for decor in the 1998 Zagat Survey?|O|Which|Which New|WDT|NNP
In a national housing affordability study of 75 cities and regions, where did Central Jersey rank? (75th is least affordable.) |A||||
Which New Jersey towns had the lowest percentage of blacks in the last Census count?|L|Which|Which New|WDT|NNP
Which categories have the most listings in the Princeton-Suburban Trenton Area phone book?|X|Which|Which categories|WDT|NNS
How many vehicles are expected to travel on the Garden State Parkway over the three-day Fourth of July weekend?|A|How|How many|WRB|JJ
What percentage of Americans believe free trade agreements have a beneficial effect on salaries? |C|What|What percentage|WP|NN
When was the last time Rep. Michael Pappas' Web site was updated, according to the site's home page? |T|When|When was|WRB|VBD
On a scale of 0 to 4 - 4 being an A - what was the average GPA (grade point average) of humanities students at Princeton University between 1992 and 1997? |A||||
Muriel van Orden Jennings was the first alumna of the Princeton Theological Seminary. In what year did she graduate?|T||||
Which New Jersey county had the lowest rate of assaults on municipal police officers in 1996?|L|Which|Which New|WDT|NNP
How many volumes were there in the Princeton University library at the time of the Civil War?|A|How|How many|WRB|JJ
What is the record for most goals by a team in a World Cup soccer match?|A|What|What is|WP|VBZ
Which municipality in New Jersey had the highest percentage of Asian residents in the last Census?|L|Which|Which municipality|WDT|NN
How old is the oldest player on the Somerset Patriots baseball team?|Y|How|How old|WRB|JJ
Next to Rutgers, which college in New Jersey has the largest enrollment? |O||||
What former presidents of Princeton University were not graduates of Yale? |P|What|What former|WP|JJ
Which New Jersey native has had the most No. 1 records?|P|Which|Which New|WDT|NNP
Route 206 is known by four different names in Montgomery and Princeton. Which of the four does not appear on any of the street signs along Route 206?|X||||
Which Ivy League school had the highest minority enrollment among freshmen in 1995?|O|Which|Which Ivy|WDT|NNP
Which of the 1990, four-door sedans with 80,000 miles on it has the highest resale value in the Princeton area?|X|Which|Which of|WDT|IN
What was the most popular name for baby girls last year in New Jersey?|P|What|What was|WP|VBD
Eighteen members of the Princeton High School graduating class will be attending Rutgers in the fall. Which New Jersey college ranks second in the number of incoming freshmen from PHS? |O||||
What percentage of the people arrested for drunken driving in New Jersey in 1996 were women? |C|What|What percentage|WP|NN
How many of the Lawrenceville School's 204 graduating seniors will be attending Ivy League colleges next fall? |A|How|How many|WRB|JJ
What town has the lowest Zip Code number in New Jersey? |L|What|What town|WP|NN
When the Princeton Theological Seminary opened in 1812, how many students did it enroll?|A|When|When the|WRB|DT
Which town in New Jersey had the highest median family income in the last Census?|L|Which|Which town|WDT|NN
Princeton University lacrosse teams have won five national championships in the 1990s. How many Ivy League titles did they win during the 1970s and 1980s?|A||||
The first two scholars appointed as professors at the Institute for Advanced Study were Albert Einstein and whom?|P||||
How much did Carl Mayer spend per vote in Tuesday's Democratic primary in the 12th Congressional District? |M|How|How much|WRB|RB
Which presidential election between 1824 and 1996 had the most lopsided popular vote in New Jersey?|X|Which|Which presidential|WDT|JJ
Which restaurants in Princeton received the highest rating for service in the 1998 Zagat Survey of New Jersey restaurants?|O|Which|Which restaurants|WDT|NNS
How much did Princeton University pay for the 825-acre Forrestal tract and the 16 laboratory buildings that were housed on it?|M|How|How much|WRB|RB
Who was the youngest person ever elected to serve as president of Princeton University? |P|Who|Who was|WP|VBD
Who was the only Republican to carry the 15th District in a statewide, presidential or U.S. Senate race in the past five years? |P|Who|Who was|WP|VBD
What was the peak year for violent crime in New Jersey over the past 30 years? |T|What|What was|WP|VBD
What percentage of tolls collected on the New Jersey Turnpike is generated by out-of-state traffic? |C|What|What percentage|WP|NN
What was the percentage change in total compensation for CEOs of small firms - sales less than $15 million - in 1996? |C|What|What was|WP|VBD
Other than the U.S. and Canada, which country has the most students represented on the undergraduate student body at Princeton University. |L||||
Who is the largest private employer in Mercer County? |O|Who|Who is|WP|VBZ
There are 15 towns called Princeton in the United States. Which Princeton has the largest population?|L||||
How many American soldiers died on the battlefield during World Wars I and II, the Korean Conflict and the Vietnam War?|A|How|How many|WRB|JJ
During an average year, how many days are there with some precipitation - rain or snow - in New Jersey? |R||||
In the early part of the 20th Century, who was the occupant of the Lower Pyne Building, now occupied by Hamilton Jewelers, at the corner of Nassau and Witherspoon streets in Princeton Borough?|P||||
What is the fine for exceeding the new 65 mph speed limit, which takes effect on 475 miles of controlled-access highways in New Jersey Tuesday, by 1 to 9 mph? |M|What|What is|WP|VBZ
What is the cost per week of sending a son or daughter to Princeton University? |M|What|What is|WP|VBZ
What percentage of companies in New Jersey pick up between 91 and 100 percent of the health care tab for employees' family coverage? |C|What|What percentage|WP|NN
What percentage of American women polled reported having had extramarital sex within the past year? |C|What|What percentage|WP|NN
"What percentage of Princeton High School students polled said they thought the decision to lengthen the school day by 24 minutes this year was an ""excellent"" one? "|C|What|What percentage|WP|NN
Which county in New Jersey has the largest farms, measured in average acres per farm? |L|Which|Which county|WDT|NN
Princeton University is the largest taxpayer in Princeton Township. Who is second?|O||||
In percentage terms, which newspaper in New Jersey lost the most daily circulation between 1990 and 1997? |O||||
What town had the most expensive housing in New Jersey in 1996? |L|What|What town|WP|NN
Which eating club at Princeton University has the highest percentage of members that have tried marijuana? |O|Which|Which eating|WDT|VBG
Smith is the most frequently listed name in the Princeton-Suburban Trenton Area phonebook. What is the second most common name? |P||||
Which restaurant was rated the favorite in New Jersey in the 1998 Zagat Survey?|O|Which|Which restaurant|WDT|NN
Which town in central Jersey has the largest population?|L|Which|Which town|WDT|NN
New Jersey continues to have the highest auto insurance rates in the nation, with an average premium of $1,259 in 1996. Which state has the lowest rates?|L||||
If the stock market fell as far tomorrow as it did between 1929 and 1932, what would the Dow Jones Index be, based on Friday's close of 9,147? |A||||
During what decade in the 20th Century was the rate of growth in the New Jersey state budget the greatest? |T||||
Of the 1,087 members of the newly graduated Princeton University Class of 1996 responding to a survey, 71 said they planned to pursue studies in medicine. How many said they planned to attend graduate school for business?|A||||
New Jersey's cancer rates are higher than the national averages for virtually every major type of cancer. Among white males in New Jersey, there is one exception. What is it?|X||||
Since 1840, Essex County has been the most populous county in New Jersey in every Census count but 1900, 1910 and 1990. Which county had the largest population in 1800 and 1820?|L||||
Which school district in Mercer, Middlesex, Somerset and Hunterdon counties had the lowest voter turnout in last week's school electons?|L|Which|Which school|WDT|NN
"Which state was the speaker referring to in the following quote? ""We have a world-class transportation system in our state."" "|L|Which|Which state|WDT|NN
Which town had the third lowest overall crime rate but the second highest violent crime rate among suburban municipalities in Mercer, Middlesex and Somerset counties in 1996?|L|Which|Which town|WDT|NN
What corporate CEO received the most compensation between 1995 and 1997?|P|What|What corporate|WP|JJ
"What percentage of Princeton University students polled by the student newspaper reported having had sexual intercourse ""in their lifetime?"""|C|What|What percentage|WP|NN
Which town in central Jersey is the largest geographically?|L|Which|Which town|WDT|NN
Why has the dollar weakened against the yen?|X|Why|Why has|WRB|VBZ
How is I.Q. tested?|X|How|How is|WRB|VBZ
Where is the St. Herman of Alaska Brotherhood located?|L|Where|Where is|WRB|VBZ
Where was the 1968 summer olympics held?|L|Where|Where was|WRB|VBD
What Apollo mission was the first to circle the moon?|X|What|What Apollo|WP|NNP
What are the symptoms of Chronic Fatigue Syndrome?|X|What|What are|WP|VBP
Who wrote the once and future king?|P|Who|Who wrote|WP|VBD
Who is the first president of Turkey?|P|Who|Who is|WP|VBZ
What was the Second Great Awakening in religious history?|F|What|What was|WP|VBD
Who was the seventeenth president of the United States?|P|Who|Who was|WP|VBD
What virus spread in U.S. in 1968?|X|What|What virus|WP|NN
What is the life span of a white tailed deer?|R|What|What is|WP|VBZ
What is ritialin made from?|X|What|What is|WP|VBZ
At what intensity does the human eye stop seeing light?|A||||
What kind of tanks does Israel have?|X|What|What kind|WP|NN
What are side effects of Claritin?|X|What|What are|WP|VBP
What is the relationship of tv/computers and teen weightloss?|X|What|What is|WP|VBZ
What percentage of residential phones have call screening devices?|C|What|What percentage|WP|NN
How many farmers are there in the U.S. today?|A|How|How many|WRB|JJ
What is magnet therapy?|F|What|What is|WP|VBZ
What are some model railroad magazines?|W|What|What are|WP|VBP
Who is Douglas Stuart?|P|Who|Who is|WP|VBZ
How much does Canada spend on NATO?|M|How|How much|WRB|JJ
Who is Matthew Hopkins?|P|Who|Who is|WP|VBZ
What is a felt maker called?|F|What|What is|WP|VBZ
Who is Harrison Ford?|F|Who|Who is|WP|VBZ
What is the ESA?|B|What|What is|WP|VBZ
Who is the world's number one golfer?|P|Who|Who is|WP|VBZ
What are some traditional anniversary gifts?|X|What|What are|WP|VBP
"Who wrote the poem called ""Trees""?"|P|Who|Who wrote|WP|VBD
What is the cost of an ultralight plane in New Zealand?|M|What|What is|WP|VBZ
What route did Lewis and Clark take going west in 1804?|X|What|What route|WP|NN
What does FTP stand for?|B|What|What does|WP|VBZ
What is the best way to propagate rosemary?|X|What|What is|WP|VBZ
What is the average salary of a MCSE in Australia?|M|What|What is|WP|VBZ
What happened on January 29th, 1954?|X|What|What happened|WP|VBD
What is the average Body Mass Index (BMI) for teenage girls?|A|What|What is|WP|VBZ
Who was the eighth president of the United States?|P|Who|Who was|WP|VBD
What does a buffalo look like?|X|What|What does|WP|VBZ
What is Ralph Steadman best known for?|F|What|What is|WP|VBZ
What is the average temperature in Tokyo?|A|What|What is|WP|VBZ
What percentage of the United States is mormon?|C|What|What percentage|WP|NN
How many people survived the Titanic?|A|How|How many|WRB|JJ
What are some ingredients for beef brisket?|X|What|What are|WP|VBP
Who is Dionysius?|F|Who|Who is|WP|VBZ
Who wrote Oliver, the musical?|P|Who|Who wrote|WP|VBD
How many Catholic churches are there in South Dakota?|A|How|How many|WRB|JJ
What sport do the Buffalo Bills play?|X|What|What sport|WP|NN
What is MS DOS?|B|What|What is|WP|VBZ
Where can I go to renew my United Kingdom passport?|L|Where|Where can|WRB|MD
How many Appollo missions have there been?|A|How|How many|WRB|JJ
What is a sound sampler?|X|What|What is|WP|VBZ
What plays did William Mastrosimone write? |W|What|What plays|WP|VBZ
Who is the king of Belgium?|P|Who|Who is|WP|VBZ
What percentage of Amsterdam uses drugs?|C|What|What percentage|WP|NN
Who is Charles Chaplin?|F|Who|Who is|WP|VBZ
What are the symptoms of Candida Albicans? |X|What|What are|WP|VBP
What tools are used for electrolysis?|X|What|What tools|WP|EX
What is sleep apnea?|F|What|What is|WP|VBZ
Where is Cuchulainn?|L|Where|Where is|WRB|VBZ
How old is the Pope?|Y|How|How old|WRB|JJ
What is Huntington's chorea?|F|What|What is|WP|VBZ
When was the Yom Kipur War in Israel?|T|When|When was|WRB|VBD
When was the first silver dollar made?|T|When|When was|WRB|VBD
What is Tourette's syndrome?|F|What|What is|WP|VBZ
What is the population of Iowa?|A|What|What is|WP|VBZ
Who is James Taylor?|F|Who|Who is|WP|VBZ
How many calories are in a strawberry?|A|How|How many|WRB|JJ
What is the smallest fish?|X|What|What is|WP|VBZ
What are pins on computer hard drives?|X|What|What are|WP|VBP
Who is Robert McCloskey?|F|Who|Who is|WP|VBZ
Who is Pierre Curie?|F|Who|Who is|WP|VBZ
What was the population of the United States in 1968?|A|What|What was|WP|VBD
Who discovered pyroelectricity?|P|Who|Who discovered|WP|VBD
Who was the father of rocketry? |P|Who|Who was|WP|VBD
Where is Naples, Italy?|L|Where|Where is|WRB|VBZ
What country causes the most pollution? |L|What|What country|WP|NN
What are the symptoms of poisoning in a child? |X|What|What are|WP|VBP
What were the treatments for arsenic poisoning in the 1840's?|X|What|What were|WP|VBD
What are some native amercian customs and rituals? |X|What|What are|WP|VBP
Where were the Kiowa Indians located? |L|Where|Where were|WRB|VBD
How many cities are there in Poland?|A|How|How many|WRB|JJ
"Who wrote the book, ""Brave New World""?"|P|Who|Who wrote|WP|VBD
When was J. Crew founded?|T|When|When was|WRB|VBD
What is U2's latest album?|F|What|What is|WP|VBZ
What do Eastern Orthodox women wear? |X|What|What do|WP|VBP
Who is the president of El Salvador? |P|Who|Who is|WP|VBZ
Where is the Saguaro National Monument? |L|Where|Where is|WRB|VBZ
What is the population of Sydney?|A|What|What is|WP|VBZ
When did Ben Franklin invent bifocals?|T|When|When did|WRB|VBD
What is a steel mill?|F|What|What is|WP|VBZ
What is the cost of living in New Orleans? |M|What|What is|WP|VBZ
Who is the actress that plays Dilann on Babylon 5?|P|Who|Who is|WP|VBZ
How many arabian horses are there in the United States? |A|How|How many|WRB|JJ
What horse has won the most prize money in racing?|X|What|What horse|WP|NN
What is the world's largest building?|X|What|What is|WP|VBZ
What diseases are tingling sensations in the limbs a symptom of?|X|What|What diseases|WP|VBZ
Where is James Cook University? |L|Where|Where is|WRB|VBZ
What is the name of the japenese stock market? |X|What|What is|WP|VBZ
What are supernovas?|F|What|What are|WP|VBP
What should I feed an llama?|X|What|What should|WP|MD
Where were the 1998 Olympics?|L|Where|Where were|WRB|VBD
What is the capital of Canada?|L|What|What is|WP|VBZ
What are the effects of corrosion on the Eiffel Tower? |X|What|What are|WP|VBP
Who is a famous ballad writing poet? |P|Who|Who is|WP|VBZ
What is the capital of Ghana?|L|What|What is|WP|VBZ
How much does a Pentium II 233 MHz processor cost?|M|How|How much|WRB|JJ
How many rich people live in the US?|A|How|How many|WRB|JJ
What pills can you take to stop smoking?|X|What|What pills|WP|VBZ
Who invented science fiction?|P|Who|Who invented|WP|VBD
Who is Mary Poppins?|F|Who|Who is|WP|VBZ
"Who is the author of ""Stranger in a Strange Land""?"|P|Who|Who is|WP|VBZ
Who is Maya Angelou?|F|Who|Who is|WP|VBZ
What is the average salary of a librarian?|M|What|What is|WP|VBZ
How many calories are in one cup of skim milk?|A|How|How many|WRB|JJ
What is a grenade?|F|What|What is|WP|VBZ
Where is Bergen Beach?|L|Where|Where is|WRB|VBZ
How fast do bullets travel?|A|How|How fast|WRB|RB
Where is New York's 63rd precinct? |L|Where|Where is|WRB|VBZ
What are car prices in Holland?|M|What|What are|WP|VBP
How many people are there in the Senate?|A|How|How many|WRB|JJ
What year was golf invented?|T|What|What year|WP|NN
What are black holes?|F|What|What are|WP|VBP
What is the Bermuda Triangle?|F|What|What is|WP|VBZ
What is Stonehenge?|F|What|What is|WP|VBZ
How many square meters are in one acre?|A|How|How many|WRB|JJ
Who is Bigfoot?|F|Who|Who is|WP|VBZ
At what age can I draw money out of a roth IRA?|Y||||
What is an optical illusion?|F|What|What is|WP|VBZ
What is the tallest mountain in the world?|X|What|What is|WP|VBZ
What did women wear during the American Revolution?|X|What|What did|WP|VBD
How does mold grow?|X|How|How does|WRB|VBZ
What does 20/20 vision mean?|X|What|What does|WP|VBZ
What is the climate like in Michigan?|X|What|What is|WP|VBZ
What kind of treatments are there for severe neck pain?|X|What|What kind|WP|NN
What percentage of children living in poverty in Minnesota are Hispanic? |C|What|What percentage|WP|NN
How many natural disasters were there in the United States in 1997?|A|How|How many|WRB|JJ
What are the hunting seasons in Pennsylvania?|X|What|What are|WP|VBP
Who is the bishop of the diocese of Northern California? |P|Who|Who is|WP|VBZ
What did Franklin D. Roosevelt do for the people in 1940?|X|What|What did|WP|VBD
What are tendons?|F|What|What are|WP|VBP
Who ran for president of the United States in 1940?|P|Who|Who ran|WP|VBD
What is criminology? |F|What|What is|WP|VBZ
What is the unemployment rate in France?|C|What|What is|WP|VBZ
Who ran for governor of Minnesota in the 1998 general election?|P|Who|Who ran|WP|VBD
What is the unemployment insurance rate for the State of Georgia? |C|What|What is|WP|VBZ
What does presidential censure entail? |X|What|What does|WP|VBZ
How do you determine if a year is a leap year? |X|How|How do|WRB|VB
How do I define a music ontology? |F|How|How do|WRB|VBP
How much do commercial jets sell for?|M|How|How much|WRB|JJ
What city is the phone number 651-578-3070 located in?|L|What|What city|WP|NN
What is interesting to visit in Frankfurt?|X|What|What is|WP|VBZ
What was the Academy Award best picture in 1971?|W|What|What was|WP|VBD
Who was the Grammy winner for best album in 1970?|P|Who|Who was|WP|VBD
What does ASTM stand for?|B|What|What does|WP|VBZ
What was the price of gold in 1950?|M|What|What was|WP|VBD
What are some side effects from getting a flu shot?|X|What|What are|WP|VBP
What is the latitude of Rochester, New York?|A|What|What is|WP|VBZ
Which president is on the five dollar bill?|P|Which|Which president|WDT|NN
What was the top K-12 school in the US in 1997?|X|What|What was|WP|VBD
What was the fastest living organism that ever existed in the history of the Earth?|X|What|What was|WP|VBD
Where is Wal-Mart headquarters?|L|Where|Where is|WRB|VBZ
What are the chemical properties of the metal gold?|X|What|What are|WP|VBP
Which organizations are opposed to horror films?|O|Which|Which organizations|WDT|NNS
What is the legal age of consent?|Y|What|What is|WP|VBZ
What is narcolepsy?|F|What|What is|WP|VBZ
What does ISP stand for?|B|What|What does|WP|VBZ
Who was the first prime minister of Britain?|P|Who|Who was|WP|VBD
What is the nutritional value of oysters?|X|What|What is|WP|VBZ
What is the real name of writer, Domini Taylor?|X|What|What is|WP|VBZ
How many endangered species are there in the world?|A|How|How many|WRB|JJ
How far is New Delhi from Seattle?|D|How|How far|WRB|RB
What is the most popular ski resort in the United States?|O|What|What is|WP|VBZ
Who was the President of the United States in 1998?|P|Who|Who was|WP|VBD
When did the Internet begin?|T|When|When did|WRB|VBD
Who is the Austrailian Prime Minister?|P|Who|Who is|WP|VBZ
Where is the University of Shephard?|L|Where|Where is|WRB|VBZ
What are the the names of the three time zones in the United States?|X|What|What are|WP|VBP
What is Denmark famous for?|X|What|What is|WP|VBZ
Who did Ridick Bowe refuse to fight?|P|Who|Who did|WP|VBD
Who was elected mayor of Paris 1791?|P|Who|Who was|WP|VBD
What is netiquette?|F|What|What is|WP|VBZ
What is the definition of molecular ovality?|F|What|What is|WP|VBZ
Who gave the opening speech at the 1992 Democratic National Convention?|P|Who|Who gave|WP|VBD
How many people received speeding tickets in 1998?|A|How|How many|WRB|JJ
What is the average cost of renting a house in Clinton, MA?|M|What|What is|WP|VBZ
What is the furthest planet from the Earth?|X|What|What is|WP|VBZ
Where is the American Lung Association of Minnesota?|L|Where|Where is|WRB|VBZ
What are the newspapers that have web pages in Laramie, Wyoming?|X|What|What are|WP|VBP
"Who wrote ""A Clockwork Orange""?"|P|Who|Who wrote|WP|VBD
What is a tennis elbow?|F|What|What is|WP|VBZ
What is the best non-chemotherapy cure for a lymphoma? |X|What|What is|WP|VBZ
What are the seven sister colleges?|O|What|What are|WP|VBP
Name some causes of rashes on babies' cheeks.|X||||
What is the phone number for the Bancroft Library at the University of California at Berkeley?|A|What|What is|WP|VBZ
Who invented the battery?|P|Who|Who invented|WP|VBD
When was the battery invented?|T|When|When was|WRB|VBD
What does the prefix cata mean in the English language?|F|What|What does|WP|VBZ
What is the market value of a beanie baby?|M|What|What is|WP|VBZ
How does alcohol affect the brain?|X|How|How does|WRB|VBZ
What is the most popular breakfast food?|X|What|What is|WP|VBZ
"Who said, ""The only thing we have to fear is fear itself""?"|P||||
What is source code?|F|What|What is|WP|VBZ
What is the CIA?|B|What|What is|WP|VBZ
Who is Homer Simpson?|F|Who|Who is|WP|VBZ
When did James Madison die?|T|When|When did|WRB|VBD
Who is Phillis Wheatley?|F|Who|Who is|WP|VBZ
What role did Patrick Henry play in the Constitutional Convention?|X|What|What role|WP|NN
How old was Mercy Otis Warren during the Constitutional Convention?|A|How|How old|WRB|JJ
What are the harmful effects of epherdrine?|X|What|What are|WP|VBP
Who are Chicago's top-rated ISPs?|X|Who|Who are|WP|VBP
How high is Mount Everest?|D|How|How high|WRB|JJ
"What is the age range for ""generation X"" people?"|R|What|What is|WP|VBZ
When were the riots in Sri Lanka?|T|When|When were|WRB|VBD
What percentage of email clients are HTML-enabled?|C|What|What percentage|WP|NN
What car company makes the Lincon Continental?|O|What|What car|WP|NN
Name a food that contains melatonin.|X||||
Where is the Washington DC National Airport located?|L|Where|Where is|WRB|VBZ
What immunizations do I need in order to travel to India?|X|What|What immunizations|WP|VBZ
When was the Battle of Hastings?|T|When|When was|WRB|VBD
What motels in Utah allow pets?|X|What|What motels|WP|VBZ
What is the area code for Portland,OR?|A|What|What is|WP|VBZ
Where did the band Silverchair originate from?|L|Where|Where did|WRB|VBD
How many potatoes can fit in a wheelbarrow?|A|How|How many|WRB|JJ
When did tickets for the 1998 World Series go on sale?|T|When|When did|WRB|VBD
Where can I buy Cole Hahn shoes in New York City?|O|Where|Where can|WRB|MD
How old was Selena when she died?|Y|How|How old|WRB|JJ
What causes diabetes?|X|What|What causes|WP|VBZ
How much does it cost to rent a car in Sweden?|M|How|How much|WRB|JJ
What is the second planet in our Solar System?|X|What|What is|WP|VBZ
What is the safest American car made today?|X|What|What is|WP|VBZ
How old was Jack Kennedy when he was elected President?|Y|How|How old|WRB|JJ
How many employees are employed by Microsoft?|A|How|How many|WRB|JJ
"Who directed the film ""Straw Dogs""?"|P|Who|Who directed|WP|VBD
Where is the world's largest roller coaster?|L|Where|Where is|WRB|VBZ
What countries made up the former USSR?|L|What|What countries|WP|NNS
"What was the first album that Michael Jackson released after his million dollar album, ""Thriller""?"|W|What|What was|WP|VBD
What city is the zip code 90812?|L|What|What city|WP|NN
"Who is the main actor in ""The Truman Show""?"|P|Who|Who is|WP|VBZ
What is the distance from Regina, Saskatchewan to Winnipeg, Manitoba? |D|What|What is|WP|VBZ
Why is Jean Arp a famous painter?|X|Why|Why is|WRB|VBZ
Name a blood disorder that can cause bruising.|X||||
Who is Arthur Miller?|F|Who|Who is|WP|VBZ
How many different kinds of doves are there?|A|How|How many|WRB|JJ
How much does it cost to build an intranet?|M|How|How much|WRB|JJ
How much do public schools spend per student?|M|How|How much|WRB|JJ
What is the name of Presient Clinton's dog?|X|What|What is|WP|VBZ
Who was the wife of the 15th president of the United States? |P|Who|Who was|WP|VBD
How much did a movie ticket cost in 1966?|M|How|How much|WRB|RB
What is the distance to the moon?|D|What|What is|WP|VBZ
How many people died in the Vietnam War?|A|How|How many|WRB|JJ
What is a myth?|F|What|What is|WP|VBZ
What football team does quarterback Steve Young play for?|O|What|What football|WP|NN
Who is the richest man alive?|P|Who|Who is|WP|VBZ
What temperature should merot wine be served at?|A|What|What temperature|WP|NN
What is the function of the spleen?|X|What|What is|WP|VBZ
How much does one gallon of water weigh?|A|How|How much|WRB|JJ
Who were the British Prime Ministers under King George V?|P|Who|Who were|WP|VBD
What were the names of the government agents that were killed in Waco, TX in 1993?|P|What|What were|WP|VBD
What is the punishment for underage drinking in Maryland?|X|What|What is|WP|VBZ
What does nonpartisan mean?|F|What|What does|WP|VBZ
Where is the FBI headquarters located?|L|Where|Where is|WRB|VBZ
What North American river flows uphill?|X|What|What North|WP|JJ
Name a play written by William Shakespeare.|W||||
How much do surgeons get paid?|M|How|How much|WRB|JJ
Who invented the toaster?|P|Who|Who invented|WP|VBD
When was the first toaster invented?|T|When|When was|WRB|VBD
Who assassinated John F. Kennedy?|P|Who|Who assassinated|WP|VBD
Who started the Carnegie Mellon architecture program?|P|Who|Who started|WP|VBD
What is plasma?|F|What|What is|WP|VBZ
Where is the Statue of Liberty?|L|Where|Where is|WRB|VBZ
What are the most popular radio stations in London?|O|What|What are|WP|VBP
What does NASA stand for?|B|What|What does|WP|VBZ
Who is the president of Russia?|P|Who|Who is|WP|VBZ
What is one University in Turkey?|X|What|What is|WP|VBZ
What is the cost of a UK Television license?|M|What|What is|WP|VBZ
Where is the California Institute of the Arts?|L|Where|Where is|WRB|VBZ
Who was the first player traded to the Minnesota Twins during the baseball strike of 1994?|P|Who|Who was|WP|VBD
What is Lenny Kravitz's favorite song by Jimi Hendrix?|W|What|What is|WP|VBZ
What kind of car does Jeff Gordon drive?|X|What|What kind|WP|NN
Who are the leading manufactures of cranes?|O|Who|Who are|WP|VBP
What is the salary of an armor truck employee? |M|What|What is|WP|VBZ
What is the distance between Milwaukee and Pittsburgh? |D|What|What is|WP|VBZ
How much does a drilling rig cost? |M|How|How much|WRB|JJ
How do I treat a common wart?|X|How|How do|WRB|VBP
What effect does lithium have on sea urchin development?|X|What|What effect|WP|NN
In what country is the Nile River located?|L||||
Where is the highest waterfall in the world?|L|Where|Where is|WRB|VBZ
What tv show was the young Marilyn Manson on?|W|What|What tv|WP|NN
What are some ingredients for a pastrami sandwhich?|X|What|What are|WP|VBP
What planet did the Odyssey space probe fly by?|X|What|What planet|WP|NN
What is the population of Omaha, Neb.?|A|What|What is|WP|VBZ
Name one company that offers digital telephone service.|O||||
What are some Australian slang words?|X|What|What are|WP|VBP
What is the capital of Argentina?|L|What|What is|WP|VBZ
What magazine compares consumer products?|X|What|What magazine|WP|NN
What is the most used letter in the alphabet?|X|What|What is|WP|VBZ
"What color is the knife in the movie, ""Scream""?"|X|What|What color|WP|NN
What are some causes of depression?|X|What|What are|WP|VBP
How many people live in the country of Japan?|A|How|How many|WRB|JJ
Who was the President of the US when televisions were invented?|P|Who|Who was|WP|VBD
What is the name of one Hispanic poet?|P|What|What is|WP|VBZ
How often do you have to rotate tires?|R|How|How often|WRB|RB
What is the cruise speed for a Cessna Skymaster?|A|What|What is|WP|VBZ
How many golf courses are there in Acapulco, Mexico?|A|How|How many|WRB|JJ
Who was the youngest graduate of a University ever?|P|Who|Who was|WP|VBD
What are some of the chemicals in hair dye?|X|What|What are|WP|VBP
Which Australian News channel has the highest ratings? |O|Which|Which Australian|WDT|JJ
What is the wing speed velocity of an African sparrow?|A|What|What is|WP|VBZ
When did the popular food chain, Wendy's, first open?|T|When|When did|WRB|VBD
What are the stages of a developing egg?|X|What|What are|WP|VBP
What are the symptoms of a gallbladder attack? |X|What|What are|WP|VBP
What were the treatments used for curing smallpox in the 1800's? |X|What|What were|WP|VBD
What happens when you evaporate sodium nitrate in water?|X|What|What happens|WP|VBZ
What is the net worth of the NFL Eagles?|M|What|What is|WP|VBZ
"Who directed the movie, ""Undertow""?"|P|Who|Who directed|WP|VBD
Which US supreme court justice said that no citizen should pay one penny more in taxes than necessary?|P|Which|Which US|WDT|NNP
What is a joint venture?|F|What|What is|WP|VBZ
What is the new area code for Minneapolis?|X|What|What is|WP|VBZ
What is the Earth's core made of?|X|What|What is|WP|VBZ
How many bones are there in the human body?|A|How|How many|WRB|JJ
How many students are enrolled at the University of Texas at Austin?|A|How|How many|WRB|JJ
What kind of food do wild bird's eat?|X|What|What kind|WP|NN
How long is the Nile River?|D|How|How long|WRB|JJ
How long does it take to bake a potato?|R|How|How long|WRB|RB
How many earthquakes occurred in Washington state in 1995?|A|How|How many|WRB|JJ
What is the air speed of a SR71 Blackbird? |A|What|What is|WP|VBZ
How old was Ronald Reagan when he was elected president of the US?|Y|How|How old|WRB|JJ
What new movie stars Julia Roberts as a stepmother and a model?|W|What|What new|WP|JJ
How many points does it take to get a drivers license suspended? |A|How|How many|WRB|JJ
How many registered voters are there in America? |A|How|How many|WRB|JJ
When was the first video game invented?|T|When|When was|WRB|VBD
When did Richard Nixon die?|T|When|When did|WRB|VBD
What year was John F. Kennedy killed? |T|What|What year|WP|NN
What animal did Hannibal use to fight against Rome? |X|What|What animal|WP|NN
